SWCAN_NBCC_LOCS Mean SA[1.0] Hazard (g)
 
---OpenQuake---
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset, BC,0.9605,0.9535,0.9477,0.9423,0.9416,0.9358,0.9440,0.9406,0.9522,0.9488
Queen Charlotte City, BC,0.8938,0.8788,0.8706,0.8613,0.8643,0.8794,0.8870,0.8870,0.8947,0.8992
Sandspit, BC,0.9178,0.9025,0.8902,0.8855,0.8861,0.8868,0.8935,0.8977,0.9037,0.9103
Prince Rupert, BC,1.0145,0.9950,0.9967,0.9849,0.9807,0.9774,0.9711,0.9737,0.9771,0.9795
Kitimat Townsite, BC,1.0537,1.0282,1.0219,1.0001,0.9875,0.9787,0.9758,0.9752,0.9764,0.9758
Port Hardy, BC,1.0659,1.0425,1.0282,1.0012,0.9902,0.9825,0.9772,0.9781,0.9711,0.9749
Tofino, BC,1.0605,1.0306,1.0105,0.9717,0.9436,0.9431,0.9625,0.9646,0.9679,0.9687
Campbell River, BC,1.0785,1.0430,1.0206,0.9847,0.9787,0.9798,0.9795,0.9838,0.9809,0.9937
Port Alberni, BC,1.0573,1.0281,1.0134,0.9896,0.9788,0.9738,0.9776,0.9945,0.9939,0.9964
Nanaimo, BC,1.0483,1.0278,1.0164,0.9982,0.9939,0.9881,0.9899,0.9863,0.9971,0.9978
Sidney, BC,1.0596,1.0369,1.0249,1.0066,1.0058,1.0104,1.0090,1.0166,1.0142,1.0242
Victoria, BC,1.0602,1.0381,1.0242,1.0008,0.9990,0.9977,1.0035,1.0028,1.0033,1.0009
Squamish, BC,1.0597,1.0321,1.0143,0.9955,0.9885,0.9874,0.9891,0.9935,0.9924,0.9901
Vancouver (city hall), BC,1.0521,1.0319,1.0162,1.0025,0.9934,0.9978,0.9955,1.0034,0.9969,1.0059
Abbotsford, BC,1.0623,1.0292,1.0187,0.9977,0.9964,0.9987,0.9973,0.9956,1.0001,0.9991
Chilliwack, BC,1.0720,1.0406,1.0184,1.0007,0.9976,0.9973,1.0020,0.9995,1.0032,1.0080
Kamloops, BC,1.3894,1.2760,1.2034,1.0818,1.0354,1.0141,1.0053,1.0043,1.0034,1.0034
Penticton, BC,1.2696,1.1800,1.1286,1.0435,1.0025,0.9875,0.9806,0.9794,0.9788,0.9803
Kelowna, BC,1.3173,1.2218,1.1616,1.0626,1.0199,1.0028,0.9940,0.9923,0.9919,0.9925
Calgary, AB,1.6575,1.4603,1.3427,1.1457,1.0667,1.0343,1.0230,1.0195,1.0224,1.0303
Edmonton, AB,0.9667,1.3333,1.7000,1.3841,1.1907,1.1050,1.0665,1.0607,1.0527,1.0591

 
---% Difference---	GSCFRISK / OQ
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Masset, BC,-4.03,-4.76,-5.37,-5.95,-6.01,-6.63,-5.76,-6.12,-4.89,-5.26
Queen Charlotte City, BC,-11.21,-12.90,-13.83,-14.90,-14.55,-12.84,-11.97,-11.98,-11.11,-10.61
Sandspit, BC,-8.57,-10.25,-11.62,-12.15,-12.08,-12.00,-11.25,-10.78,-10.12,-9.39
Prince Rupert, BC,1.43,-0.50,-0.33,-1.52,-1.95,-2.28,-2.93,-2.67,-2.32,-2.07
Kitimat Townsite, BC,5.23,2.78,2.17,0.01,-1.25,-2.15,-2.44,-2.51,-2.38,-2.45
Port Hardy, BC,6.38,4.16,2.78,0.12,-0.99,-1.77,-2.30,-2.22,-2.93,-2.54
Tofino, BC,5.87,3.01,1.05,-2.87,-5.80,-5.85,-3.82,-3.60,-3.27,-3.18
Campbell River, BC,7.55,4.21,2.04,-1.54,-2.16,-2.04,-2.07,-1.63,-1.93,-0.63
Port Alberni, BC,5.57,2.77,1.34,-1.05,-2.14,-2.66,-2.26,-0.55,-0.61,-0.36
Nanaimo, BC,4.71,2.75,1.63,-0.18,-0.61,-1.19,-1.02,-1.38,-0.29,-0.22
Sidney, BC,5.78,3.62,2.46,0.66,0.58,1.04,0.90,1.64,1.41,2.39
Victoria, BC,5.85,3.74,2.39,0.08,-0.10,-0.23,0.35,0.28,0.33,0.09
Squamish, BC,5.80,3.16,1.42,-0.45,-1.16,-1.26,-1.09,-0.65,-0.76,-1.00
Vancouver (city hall), BC,5.08,3.14,1.61,0.25,-0.66,-0.22,-0.45,0.34,-0.31,0.59
Abbotsford, BC,6.04,2.88,1.85,-0.23,-0.36,-0.13,-0.27,-0.45,0.01,-0.09
Chilliwack, BC,6.95,3.98,1.82,0.07,-0.24,-0.27,0.20,-0.05,0.32,0.79
Kamloops, BC,32.59,24.25,18.46,7.86,3.48,1.40,0.52,0.43,0.34,0.33
Penticton, BC,23.76,16.51,12.08,4.26,0.25,-1.26,-1.96,-2.08,-2.14,-1.99
Kelowna, BC,27.38,19.97,14.96,6.07,1.97,0.28,-0.60,-0.77,-0.81,-0.76
Calgary, AB,49.48,37.42,29.25,13.58,6.45,3.37,2.28,1.93,2.21,2.99
Edmonton, AB,-3.39,28.57,51.85,32.22,17.41,9.97,6.44,5.89,5.13,5.74
